epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.94065,0.56014,7.79089,0.00961,0.00431,1,0.3846,0.34184,0.43503,7.92389,0.00791,0.00028,0.00028,0.00028
2,14.8185,0.61092,6.91096,0.01162,0.00426,0.98864,0.50007,0.44332,0.44819,7.69743,0.00934,0.00052258,0.00052258,0.00052258
3,20.4441,0.65024,5.96469,0.0125,0.00818,0.98864,0.60054,0.51834,0.55785,7.5041,0.01179,0.00070576,0.00070576,0.00070576
4,25.9361,0.59378,5.2321,0.01184,0.8881,0.34091,0.71601,0.63796,0.55432,6.74767,0.01179,0.00082954,0.00082954,0.00082954
5,31.3314,0.58583,4.86411,0.01163,0.90657,0.63636,0.84971,0.71063,0.60352,6.11137,0.01326,0.00089392,0.00089392,0.00089392
6,36.7462,0.63377,4.39551,0.01219,0.98492,0.74201,0.89829,0.75186,0.73227,5.41161,0.01589,0.0008989,0.0008989,0.0008989
7,42.1575,0.62189,4.01757,0.01154,0.88515,0.78826,0.90651,0.78777,0.56242,4.66571,0.011,0.000812,0.000812,0.000812
8,47.6288,0.58145,3.70699,0.0104,0.97187,0.7852,0.95393,0.79894,0.63924,4.19574,0.01454,0.000614,0.000614,0.000614
9,52.961,0.54698,3.56656,0.01029,0.95041,0.85227,0.96685,0.84586,0.53801,3.79291,0.01102,0.000416,0.000416,0.000416
10,58.4973,0.5341,3.38611,0.00994,0.97241,0.82955,0.96573,0.85376,0.53163,3.53129,0.01062,0.000218,0.000218,0.000218
